"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/Users/ael-korc/Desktop/Cub3d/Cub3d/Makefile", "Makefile", 0, 29, 0, 11, 17, 57
"/Users/ael-korc/Desktop/Cub3d/Cub3d/check_map.c", "C", 76, 0, 0, 11, 11, 98
"/Users/ael-korc/Desktop/Cub3d/Cub3d/checks.c", "C", 60, 0, 0, 0, 9, 69
"/Users/ael-korc/Desktop/Cub3d/Cub3d/cub3d.c", "C", 59, 0, 0, 0, 6, 65
"/Users/ael-korc/Desktop/Cub3d/Cub3d/cub3d.h", "C", 149, 0, 0, 11, 31, 191
"/Users/ael-korc/Desktop/Cub3d/Cub3d/draw2D.c", "C", 80, 0, 0, 3, 6, 89
"/Users/ael-korc/Desktop/Cub3d/Cub3d/draw3D.c", "C", 52, 0, 0, 0, 8, 60
"/Users/ael-korc/Desktop/Cub3d/Cub3d/gnl/get_next_line.c", "C", 88, 0, 0, 11, 10, 109
"/Users/ael-korc/Desktop/Cub3d/Cub3d/gnl/get_next_line.h", "C++", 0, 0, 9, 11, 5, 25
"/Users/ael-korc/Desktop/Cub3d/Cub3d/gnl/get_next_line_utils.c", "C", 53, 0, 0, 11, 8, 72
"/Users/ael-korc/Desktop/Cub3d/Cub3d/init.c", "C", 64, 0, 0, 0, 6, 70
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/Makefile", "Makefile", 0, 31, 0, 0, 13, 44
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_atoi.c", "C", 25, 0, 0, 11, 4, 40
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_bzero.c", "C", 13, 0, 0, 11, 4, 28
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_calloc.c", "C", 10, 0, 0, 11, 4, 25
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_isalnum.c", "C", 7, 0, 0, 11, 3, 21
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_isalpha.c", "C", 7, 0, 0, 11, 3, 21
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_isascii.c", "C", 7, 0, 0, 11, 3, 21
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_isdigit.c", "C", 9, 0, 0, 11, 3, 23
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_isprint.c", "C", 7, 0, 0, 11, 3, 21
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_itoa.c", "C", 76, 0, 0, 11, 10, 97
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_lstadd_back.c", "C", 16, 0, 0, 11, 4, 31
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_lstadd_front.c", "C", 8, 0, 0, 11, 3, 22
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_lstclear.c", "C", 13, 0, 0, 11, 4, 28
"/Users/ael-korc/Desktop/Cub3d/Cub3d/libft/ft_lstdelone.c", "C", 8, 0, 0, 11, 3, 22
